1.1;0;0.05;0.1;0.15;0.2;0.25;0.3;0.35;0.4;0.45;0.5;0.55;0.6;0.65;0.7;0.75;0.8;0.85;0.9;0.95;
0;33.596;33.631;33.738;33.918;34.171;34.501;34.909;35.401;35.982;36.656;37.43;38.312;39.295;40.375;41.547;42.809;44.165;45.618;47.172;48.814;
500;31.976;32.01;32.113;32.286;32.529;32.844;33.241;33.717;34.28;34.935;35.687;36.543;37.496;38.542;39.674;40.893;42.202;43.603;45.1;46.693;
1000;30.413;30.445;30.543;30.709;30.942;31.244;31.625;32.083;32.625;33.26;33.991;34.823;35.746;36.758;37.853;39.031;40.295;41.645;43.087;44.625;
1500;28.908;28.939;29.033;29.19;29.413;29.701;30.065;30.504;31.024;31.635;32.342;33.149;34.044;35.023;36.082;37.221;38.441;39.745;41.134;42.613;
2000;27.451;27.481;27.572;27.724;27.937;28.215;28.562;28.982;29.479;30.064;30.743;31.522;32.388;33.336;34.361;35.462;36.641;37.899;39.239;40.663;
2500;26.047;26.076;26.162;26.307;26.511;26.777;27.107;27.51;27.987;28.548;29.2;29.946;30.78;31.696;32.687;33.752;34.891;36.106;37.399;38.771;
3000;24.695;24.723;24.805;24.944;25.139;25.394;25.711;26.092;26.548;27.082;27.706;28.423;29.224;30.104;31.061;32.09;33.192;34.365;35.612;36.936;
3500;23.395;23.422;23.5;23.633;23.82;24.063;24.366;24.732;25.166;25.675;26.269;26.948;27.713;28.561;29.482;30.477;31.541;32.675;33.878;35.154;
4000;22.147;22.172;22.247;22.373;22.551;22.784;23.073;23.422;23.837;24.322;24.889;25.535;26.259;27.063;27.947;28.909;29.938;31.033;32.195;33.426;
4500;20.947;20.971;21.043;21.163;21.333;21.555;21.831;22.164;22.56;23.023;23.564;24.178;24.866;25.626;26.464;27.382;28.376;29.439;30.561;31.749;
5000;19.795;19.818;19.886;20.001;20.164;20.375;20.639;20.957;21.334;21.777;22.292;22.875;23.528;24.25;25.042;25.911;26.859;27.882;28.975;30.122;
5500;18.689;18.711;18.776;18.886;19.041;19.243;19.494;19.798;20.158;20.58;21.071;21.625;22.245;22.929;23.68;24.501;25.399;26.374;27.423;28.538;
6000;17.629;17.649;17.712;17.816;17.964;18.157;18.396;18.685;19.029;19.432;19.898;20.425;21.014;21.663;22.374;23.152;23.999;24.923;25.923;26.995;
6500;16.612;16.632;16.691;16.79;16.931;17.115;17.343;17.619;17.946;18.33;18.773;19.274;19.833;20.449;21.123;21.859;22.661;23.532;24.48;25.502;
7000;15.655;15.673;15.727;15.818;15.947;16.117;16.334;16.597;16.908;17.274;17.695;18.17;18.7;19.284;19.924;20.621;21.38;22.204;23.096;24.064;
7500;14.742;14.759;14.811;14.897;15.018;15.178;15.377;15.619;15.914;16.262;16.661;17.112;17.614;18.168;18.774;19.435;20.154;20.933;21.775;22.687;
8000;13.871;13.887;13.936;14.017;14.132;14.283;14.471;14.7;14.971;15.292;15.671;16.099;16.574;17.098;17.672;18.298;18.979;19.716;20.512;21.373;
8500;13.04;13.055;13.101;13.178;13.286;13.429;13.606;13.822;14.079;14.381;14.729;15.129;15.579;16.074;16.618;17.21;17.854;18.552;19.305;20.117;
9000;12.248;12.262;12.305;12.377;12.48;12.614;12.782;12.986;13.228;13.513;13.84;14.21;14.626;15.095;15.609;16.169;16.778;17.437;18.149;18.917;
9500;11.493;11.506;11.547;11.615;11.712;11.838;11.996;12.188;12.417;12.686;12.994;13.342;13.729;14.159;14.644;15.173;15.749;16.372;17.044;17.769;
10000;10.774;10.787;10.825;10.889;10.98;11.099;11.248;11.429;11.645;11.898;12.187;12.514;12.878;13.281;13.724;14.222;14.765;15.353;15.989;16.673;
10500;10.092;10.103;10.139;10.199;10.284;10.396;10.536;10.707;10.91;11.148;11.42;11.727;12.068;12.446;12.862;13.318;13.826;14.381;14.98;15.625;
11000;9.4478;9.4588;9.492;9.5478;9.627;9.7307;9.8605;10.02;10.211;10.434;10.69;10.977;11.298;11.652;12.042;12.469;12.935;13.453;14.018;14.626;
11500;8.7258;8.736;8.7666;8.8181;8.8913;8.9871;9.1069;9.2542;9.4308;9.6368;9.8726;10.138;10.434;10.761;11.121;11.516;11.947;12.425;12.947;13.509;
12000;8.059;8.0683;8.0966;8.1442;8.2118;8.3003;8.411;8.547;8.7101;8.9004;9.1181;9.3635;9.6368;9.9389;10.271;10.636;11.034;11.476;11.957;12.476;
