Lever,Altitude_ft,Mach,Thrust_N,TSFC_kg_per_Ns,TSFC_unit_flag,Valid,Error
0.0,2000.0,0.3,9557.800000000001,1.4307685869133064e-05,kg/(N·s),1,
0.0,2000.0,0.32,9034.839999999998,1.5031810192543533e-05,kg/(N·s),1,
0.0,2000.0,0.34,8511.88,1.584491322716016e-05,kg/(N·s),1,
0.0,2000.0,0.36,7983.000000000001,1.674758862582989e-05,kg/(N·s),1,
0.0,2000.0,0.38,7448.2,1.7761069788673777e-05,kg/(N·s),1,
0.0,2000.0,0.4,6913.400000000001,1.8931350710214944e-05,kg/(N·s),1,
0.0,2000.0,0.42,6333.920000000001,2.0337484527749003e-05,kg/(N·s),1,
0.0,2000.0,0.44,5754.4400000000005,2.2026817553054683e-05,kg/(N·s),1,
0.0,2000.0,0.46,5144.0,2.41699066874028e-05,kg/(N·s),1,
0.0,2000.0,0.48,4502.600000000001,2.6995513703193703e-05,kg/(N·s),1,
0.0,2000.0,0.5,3861.2000000000003,3.0759867398736145e-05,kg/(N·s),1,
0.0,2000.0,0.52,3170.84,3.623203945957537e-05,kg/(N·s),1,
0.0,2000.0,0.54,2480.48,4.475020963684448e-05,kg/(N·s),1,
0.0,2000.0,0.56,1753.1679999999992,6.098913509714988e-05,kg/(N·s),1,
0.0,2000.0,0.58,988.9040000000018,0.00010380441377525,kg/(N·s),1,
0.0,2000.0,0.6,224.64000000000001,0.0004379496082621082,kg/(N·s),1,
0.0,2000.0,0.62,5015.84000000001,3.032792114581003e-05,kg/(N·s),1,
0.0,2000.0,0.64,4199.280000000011,3.5158408108056556e-05,kg/(N·s),1,
0.0,2000.0,0.66,3373.9200000000096,4.253035045288558e-05,kg/(N·s),1,
0.0,2000.0,0.68,2539.7600000000084,5.499811005764309e-05,kg/(N·s),1,
0.0,2000.0,0.7000000000000001,1705.5999999778048,7.966111632373837e-05,kg/(N·s),1,
0.0,2000.0,0.72,5811.620000000012,3.143116721327268e-05,kg/(N·s),1,
0.0,2000.0,0.74,4990.740000000013,3.580671403439163e-05,kg/(N·s),1,
0.0,2000.0,0.76,4179.980000000014,4.1882975516629156e-05,kg/(N·s),1,
0.0,2000.0,0.78,3379.3400000000133,5.082945190480966e-05,kg/(N·s),1,
0.0,2000.0,0.8,2578.700000000013,6.533136851902094e-05,kg/(N·s),1,
0.0,2000.0,0.8200000000000001,1801.9560000000113,9.209214875390915e-05,kg/(N·s),1,
0.0,2000.0,0.84,1025.2120000000143,0.00015940312832857774,kg/(N·s),1,
0.0,2000.0,0.86,6439.320000000031,3.462756937067879e-05,kg/(N·s),1,
0.0,2000.0,0.88,5833.56000000003,3.78420724223286e-05,kg/(N·s),1,
0.0,2000.0,0.9,5227.800000000031,4.180152262902159e-05,kg/(N·s),1,
0.0,2000.0,0.92,4714.040000000031,4.603312657508187e-05,kg/(N·s),1,
0.0,2000.0,0.9400000000000001,4200.280000000032,5.1299913339110435e-05,kg/(N·s),1,
0.0,2000.0,0.96,,,,0,The mach number is out of range.
0.0,2000.0,0.98,,,,0,The mach number is out of range.
0.0,2000.0,1.0,,,,0,The mach number is out of range.
0.0,4000.0,0.0,16650.0,6.777177177177177e-06,kg/(N·s),1,
0.0,4000.0,0.02,15874.800000000001,7.107365132159146e-06,kg/(N·s),1,
0.0,4000.0,0.04,15099.599999999999,7.471456197515166e-06,kg/(N·s),1,
0.0,4000.0,0.06,14382.6,7.842392891410453e-06,kg/(N·s),1,
0.0,4000.0,0.08,13723.800000000001,8.216528949707806e-06,kg/(N·s),1,
0.0,4000.0,0.1,13065.0,8.628396479142748e-06,kg/(N·s),1,
0.0,4000.0,0.12,12501.8,9.013901998112271e-06,kg/(N·s),1,
0.0,4000.0,0.14,11938.6,9.435779739667967e-06,kg/(N·s),1,
0.0,4000.0,0.16,11408.8,9.867295421078466e-06,kg/(N·s),1,
0.0,4000.0,0.18,10912.4,1.0305890546534218e-05,kg/(N·s),1,
0.0,4000.0,0.2,10416.0,1.0786290322580646e-05,kg/(N·s),1,
0.0,4000.0,0.22,9965.04,1.125113396433933e-05,kg/(N·s),1,
0.0,4000.0,0.24,9514.080000000002,1.1760044061012728e-05,kg/(N·s),1,
0.0,4000.0,0.26,9077.340000000002,1.229214725899878e-05,kg/(N·s),1,
0.0,4000.0,0.28,8654.82,1.284833191215993e-05,kg/(N·s),1,
0.0,4000.0,0.3,8232.300000000001,1.3461608541962754e-05,kg/(N·s),1,
0.0,4000.0,0.32,7812.379999999999,1.4095576508055165e-05,kg/(N·s),1,
0.0,4000.0,0.34,7392.459999999999,1.4801568084237182e-05,kg/(N·s),1,
0.0,4000.0,0.36,6971.18,1.5573260194113476e-05,kg/(N·s),1,
0.0,4000.0,0.38,6548.54,1.6423813552333802e-05,kg/(N·s),1,
0.0,4000.0,0.4,6125.9,1.7391730194746895e-05,kg/(N·s),1,
0.0,4000.0,0.42,5667.700000000001,1.852179896607089e-05,kg/(N·s),1,
0.0,4000.0,0.44,5209.5,1.9850657452730588e-05,kg/(N·s),1,
0.0,4000.0,0.46,4731.76,2.1480590731567115e-05,kg/(N·s),1,
0.0,4000.0,0.48,4234.4800000000005,2.353606582154125e-05,kg/(N·s),1,
0.0,4000.0,0.5,3737.2000000000003,2.6138552927325267e-05,kg/(N·s),1,
0.0,4000.0,0.52,3195.36,2.967371438585949e-05,kg/(N·s),1,
0.0,4000.0,0.54,2653.5200000000004,3.465261237902861e-05,kg/(N·s),1,
0.0,4000.0,0.56,2086.2879999999996,4.25645931913523e-05,kg/(N·s),1,
0.0,4000.0,0.58,1493.6640000000011,5.715475501853157e-05,kg/(N·s),1,
0.0,4000.0,0.6,901.04,9.09371393056912e-05,kg/(N·s),1,
0.0,4000.0,0.62,1487.828,6.132523383079227e-05,kg/(N·s),1,
0.0,4000.0,0.64,857.356,0.00010280420268826485,kg/(N·s),1,
0.0,4000.0,0.66,3680.3000000000084,3.245876694834655e-05,kg/(N·s),1,
0.0,4000.0,0.68,3029.500000000007,3.836738735764972e-05,kg/(N·s),1,
0.0,4000.0,0.7000000000000001,2378.7000000000053,4.750914364989273e-05,kg/(N·s),1,
0.0,4000.0,0.72,1727.872000000009,6.397811874953674e-05,kg/(N·s),1,
0.0,4000.0,0.74,1077.044000000009,0.00010035058920526849,kg/(N·s),1,
0.0,4000.0,0.76,4593.52000000001,3.1833104024800104e-05,kg/(N·s),1,
0.0,4000.0,0.78,3987.360000000011,3.6018317884514996e-05,kg/(N·s),1,
0.0,4000.0,0.8,3381.2000000000107,4.170412871169989e-05,kg/(N·s),1,
0.0,4000.0,0.8200000000000001,2800.3200000000093,4.958076219860575e-05,kg/(N·s),1,
0.0,4000.0,0.84,2219.4400000000114,6.158039865912095e-05,kg/(N·s),1,
0.0,4000.0,0.86,1657.0420000000115,8.133167415189185e-05,kg/(N·s),1,
0.0,4000.0,0.88,1113.1260000000116,0.00011960011714756347,kg/(N·s),1,
0.0,4000.0,0.9,569.2100000000117,0.00023100437448392929,kg/(N·s),1,
0.0,4000.0,0.92,5516.560000000025,3.334686833823967e-05,kg/(N·s),1,
0.0,4000.0,0.9400000000000001,5166.520000000025,3.544745786331988e-05,kg/(N·s),1,
0.0,4000.0,0.96,,,,0,The mach number is out of range.
0.0,4000.0,0.98,,,,0,The mach number is out of range.
0.0,4000.0,1.0,,,,0,The mach number is out of range.
0.0,6000.0,0.0,13747.0,6.586527969738852e-06,kg/(N·s),1,
0.0,6000.0,0.02,13129.4,6.895623562386706e-06,kg/(N·s),1,
0.0,6000.0,0.04,12511.800000000001,7.235233939161432e-06,kg/(N·s),1,
0.0,6000.0,0.06,11939.599999999999,7.5804717075948954e-06,kg/(N·s),1,
0.0,6000.0,0.08,11412.8,7.92806322725361e-06,kg/(N·s),1,
0.0,6000.0,0.1,10886.0,8.30929634392798e-06,kg/(N·s),1,
0.0,6000.0,0.12,10433.799999999997,8.666161896911961e-06,kg/(N·s),1,
0.0,6000.0,0.14,9981.6,9.055361865833133e-06,kg/(N·s),1,
0.0,6000.0,0.16,9556.619999999999,9.4518354815824e-06,kg/(N·s),1,
0.0,6000.0,0.18,9158.86,9.853060315366761e-06,kg/(N·s),1,
0.0,6000.0,0.2,8761.1,1.0290716919108331e-05,kg/(N·s),1,
0.0,6000.0,0.22,8401.38,1.0711430741140148e-05,kg/(N·s),1,
0.0,6000.0,0.24,8041.66,1.1169783353188273e-05,kg/(N·s),1,
0.0,6000.0,0.26,7693.18,1.1646601275415367e-05,kg/(N·s),1,
0.0,6000.0,0.28,7355.939999999999,1.2142323074957112e-05,kg/(N·s),1,
0.0,6000.0,0.3,7018.7,1.2685682533802557e-05,kg/(N·s),1,
0.0,6000.0,0.32,6685.379999999998,1.3240025249125707e-05,kg/(N·s),1,
0.0,6000.0,0.34,6352.059999999999,1.3852545473436968e-05,kg/(N·s),1,
0.0,6000.0,0.36,6019.9800000000005,1.4514001707646869e-05,kg/(N·s),1,
0.0,6000.0,0.38,5689.14,1.5232530751572292e-05,kg/(N·s),1,
0.0,6000.0,0.4,5358.3,1.6039788738965715e-05,kg/(N·s),1,
0.0,6000.0,0.42,5000.02,1.6960252158991363e-05,kg/(N·s),1,
0.0,6000.0,0.44,4641.740000000001,1.8022810411612883e-05,kg/(N·s),1,
0.0,6000.0,0.46,4271.56,1.928517918512206e-05,kg/(N·s),1,
0.0,6000.0,0.48,3889.480000000001,2.0815995968612765e-05,kg/(N·s),1,
0.0,6000.0,0.5,3507.4,2.2680333010206988e-05,kg/(N·s),1,
0.0,6000.0,0.52,3087.16,2.513203073374882e-05,kg/(N·s),1,
0.0,6000.0,0.54,2666.92,2.835638114379134e-05,kg/(N·s),1,
0.0,6000.0,0.56,2230.919999999999,3.28799777670199e-05,kg/(N·s),1,
0.0,6000.0,0.58,1779.160000000001,3.977820994177026e-05,kg/(N·s),1,
0.0,6000.0,0.6,1327.3999999999999,5.137185475365377e-05,kg/(N·s),1,
0.0,6000.0,0.62,846.4799999999999,7.799333711369436e-05,kg/(N·s),1,
0.0,6000.0,0.64,365.55999999999995,0.00017465970018601602,kg/(N·s),1,
0.0,6000.0,0.66,3743.680000000007,2.6427312163432744e-05,kg/(N·s),1,
0.0,6000.0,0.68,3247.4400000000055,2.9705306333604283e-05,kg/(N·s),1,
0.0,6000.0,0.7000000000000001,2751.2000000000044,3.416581855190459e-05,kg/(N·s),1,
0.0,6000.0,0.72,2258.4800000000073,4.0700559668449477e-05,kg/(N·s),1,
0.0,6000.0,0.74,1765.7600000000073,5.088222635012669e-05,kg/(N·s),1,
0.0,6000.0,0.76,1274.7940000000078,6.904786185062021e-05,kg/(N·s),1,
0.0,6000.0,0.78,785.5820000000077,0.0001100450366734462,kg/(N·s),1,
0.0,6000.0,0.8,296.37000000000774,0.0002863886358268308,kg/(N·s),1,
0.0,6000.0,0.8200000000000001,3360.440000000008,3.4471676328099843e-05,kg/(N·s),1,
0.0,6000.0,0.84,2936.480000000009,3.887647796000646e-05,kg/(N·s),1,
0.0,6000.0,0.86,2529.440000000009,4.453713074830781e-05,kg/(N·s),1,
0.0,6000.0,0.88,2139.3200000000093,5.203616102312866e-05,kg/(N·s),1,
0.0,6000.0,0.9,1749.2000000000096,6.2880173793734e-05,kg/(N·s),1,
0.0,6000.0,0.92,1405.500000000009,7.757381714692238e-05,kg/(N·s),1,
0.0,6000.0,0.9400000000000001,1061.8000000000086,0.00010177999623281149,kg/(N·s),1,
0.0,6000.0,0.96,,,,0,The mach number is out of range.
0.0,6000.0,0.98,,,,0,The mach number is out of range.
0.0,6000.0,1.0,,,,0,The mach number is out of range.
0.0,8000.0,0.0,11223.0,6.414327719861e-06,kg/(N·s),1,
0.0,8000.0,0.02,10737.400000000001,6.703708532791922e-06,kg/(N·s),1,
0.0,8000.0,0.04,10251.8,7.020503716420532e-06,kg/(N·s),1,
0.0,8000.0,0.06,9801.0,7.3420263238445055e-06,kg/(N·s),1,
0.0,8000.0,0.08,9385.0,7.665380927011187e-06,kg/(N·s),1,
0.0,8000.0,0.1,8969.0,8.018731185193444e-06,kg/(N·s),1,
0.0,8000.0,0.12,8610.64,8.34929807772709e-06,kg/(N·s),1,
0.0,8000.0,0.14,8252.279999999999,8.708575084703866e-06,kg/(N·s),1,
0.0,8000.0,0.16,7915.82,9.073450381640815e-06,kg/(N·s),1,
0.0,8000.0,0.18,7601.26,9.441513643790634e-06,kg/(N·s),1,
0.0,8000.0,0.2,7286.7,9.841354797096079e-06,kg/(N·s),1,
0.0,8000.0,0.22,7003.42,1.0223433693823874e-05,kg/(N·s),1,
0.0,8000.0,0.24,6720.139999999999,1.0637724809304569e-05,kg/(N·s),1,
0.0,8000.0,0.26,6445.54,1.106669107631013e-05,kg/(N·s),1,
0.0,8000.0,0.28,6179.62,1.1510481227001012e-05,kg/(N·s),1,
0.0,8000.0,0.3,5913.700000000001,1.1994182998799398e-05,kg/(N·s),1,
0.0,8000.0,0.32,5652.78,1.2483202955006209e-05,kg/(N·s),1,
0.0,8000.0,0.34,5391.86,1.3019551694591478e-05,kg/(N·s),1,
0.0,8000.0,0.36,5133.500000000001,1.359189636700107e-05,kg/(N·s),1,
0.0,8000.0,0.38,4877.700000000001,1.4205055661479791e-05,kg/(N·s),1,
0.0,8000.0,0.4,4621.900000000001,1.4886085808866482e-05,kg/(N·s),1,
0.0,8000.0,0.42,4345.900000000001,1.564242159276559e-05,kg/(N·s),1,
0.0,8000.0,0.44,4069.9000000000005,1.6501339099240766e-05,kg/(N·s),1,
0.0,8000.0,0.46,3786.84,1.7492368307084536e-05,kg/(N·s),1,
0.0,8000.0,0.48,3496.7200000000003,1.8653595369374727e-05,kg/(N·s),1,
0.0,8000.0,0.5,3206.6,2.0024948543628768e-05,kg/(N·s),1,
0.0,8000.0,0.52,2885.52,2.1782971526795864e-05,kg/(N·s),1,
0.0,8000.0,0.54,2564.44,2.3981220071438598e-05,kg/(N·s),1,
0.0,8000.0,0.56,2234.06,2.6820586734465505e-05,kg/(N·s),1,
0.0,8000.0,0.58,1894.3800000000008,3.067832219512451e-05,kg/(N·s),1,
0.0,8000.0,0.6,1554.7,3.62217791213739e-05,kg/(N·s),1,
0.0,8000.0,0.62,1189.808,4.580201175315682e-05,kg/(N·s),1,
0.0,8000.0,0.64,824.9159999999999,6.38576533853144e-05,kg/(N·s),1,
0.0,8000.0,0.66,1280.1619999999998,4.588263047957994e-05,kg/(N·s),1,
0.0,8000.0,0.68,907.2859999999987,6.307338590036667e-05,kg/(N·s),1,
0.0,8000.0,0.7000000000000001,534.4099999777966,0.00010425328867782185,kg/(N·s),1,
0.0,8000.0,0.72,2511.760000000006,3.0265948976016772e-05,kg/(N·s),1,
0.0,8000.0,0.74,2143.520000000006,3.470067925654991e-05,kg/(N·s),1,
0.0,8000.0,0.76,1779.340000000006,4.095462362448988e-05,kg/(N·s),1,
0.0,8000.0,0.78,1419.2200000000062,5.0374571947971246e-05,kg/(N·s),1,
0.0,8000.0,0.8,1059.100000000006,6.620054763478394e-05,kg/(N·s),1,
0.0,8000.0,0.8200000000000001,708.9120000000054,9.742676100841787e-05,kg/(N·s),1,
0.0,8000.0,0.84,358.7240000000068,0.0001896193173581884,kg/(N·s),1,
0.0,8000.0,0.86,2987.2200000000075,3.1482247708571795e-05,kg/(N·s),1,
0.0,8000.0,0.88,2716.660000000007,3.4274145458025606e-05,kg/(N·s),1,
0.0,8000.0,0.9,2446.1000000000076,3.7683659703200926e-05,kg/(N·s),1,
0.0,8000.0,0.92,2217.180000000007,4.129281339358996e-05,kg/(N·s),1,
0.0,8000.0,0.9400000000000001,1988.2600000000068,4.5733053021234536e-05,kg/(N·s),1,
0.0,8000.0,0.96,,,,0,The mach number is out of range.
0.0,8000.0,0.98,,,,0,The mach number is out of range.
0.0,8000.0,1.0,,,,0,The mach number is out of range.
0.0,10000.0,0.0,9043.699999999999,6.281057531762443e-06,kg/(N·s),1,
0.0,10000.0,0.02,8667.18,6.553181080812906e-06,kg/(N·s),1,
0.0,10000.0,0.04,8290.66,6.850021590560944e-06,kg/(N·s),1,
0.0,10000.0,0.06,7940.579999999999,7.150711912731815e-06,kg/(N·s),1,
0.0,10000.0,0.08,7616.94,7.4526515897460135e-06,kg/(N·s),1,
0.0,10000.0,0.1,7293.3,7.781388397570372e-06,kg/(N·s),1,
0.0,10000.0,0.12,7013.46,8.088846304106675e-06,kg/(N·s),1,
0.0,10000.0,0.14,6733.62,8.421859267377726e-06,kg/(N·s),1,
0.0,10000.0,0.16,6471.08,8.759094308832528e-06,kg/(N·s),1,
0.0,10000.0,0.18,6225.84,9.098274289091912e-06,kg/(N·s),1,
0.0,10000.0,0.2,5980.6,9.46527104303916e-06,kg/(N·s),1,
0.0,10000.0,0.22,5761.16,9.813926362052086e-06,kg/(N·s),1,
0.0,10000.0,0.24,5541.719999999999,1.0190193658286599e-05,kg/(N·s),1,
0.0,10000.0,0.26,5328.620000000001,1.0577710551700063e-05,kg/(N·s),1,
